site;country;site_name;FLUXNET2015;FLUXNET-CH4;lat;lon;elev;igbp;mat;map;region;continent
US-NC4;USA;NC_AlligatorRiver;;CC-BY-4.0;35.7879;-75.9038;1.0;WET;16.6;1311.0;Americas;North America
US-NGB;USA;NGEE Arctic Barrow;;CC-BY-4.0;71.28;-156.6092;5.273;SNO;-11.27;171.0;Americas;North America
US-NGC;USA;NGEE Arctic Council;;CC-BY-4.0;64.8614;-163.7008;35.0;GRA;;;Americas;North America
US-NR1;USA;Niwot Ridge Forest (LTER NWT1);CC-BY-4.0;;40.0329;-105.5464;3050.0;ENF;1.5;800.0;Americas;North America
US-Ne1;USA;Mead - irrigated continuous maize site;CC-BY-4.0;;41.1651;-96.4766;361.0;CRO;10.07;790.37;Americas;North America
US-Ne2;USA;Mead - irrigated maize-soybean rotation site;CC-BY-4.0;;41.1649;-96.4701;362.0;CRO;10.08;788.89;Americas;North America
US-Ne3;USA;Mead - rainfed maize-soybean rotation site;CC-BY-4.0;;41.1797;-96.4397;363.0;CRO;10.11;783.68;Americas;North America
US-ORv;USA;Olentangy River Wetland Research Park;CC-BY-4.0;CC-BY-4.0;40.0201;-83.0183;221.0;WET;11.63;1499.1;Americas;North America
US-OWC;USA;Old Woman Creek;;CC-BY-4.0;41.3795;-82.5125;174.0;WET;10.7;930.0;Americas;North America
US-Oho;USA;Oak Openings;CC-BY-4.0;;41.5545;-83.8438;230.0;DBF;10.1;849.0;Americas;North America
US-PFa;USA;Park Falls/WLEF;CC-BY-4.0;CC-BY-4.0;45.9459;-90.2723;470.0;MF;4.33;823.0;Americas;North America
US-Prr;USA;Poker Flat Research Range Black Spruce Forest;CC-BY-4.0;;65.1237;-147.4876;210.0;ENF;-2.0;275.0;Americas;North America
US-SRC;USA;Santa Rita Creosote;CC-BY-4.0;;31.9083;-110.8395;950.0;OSH;22.0;330.0;Americas;North America
US-SRG;USA;Santa Rita Grassland;CC-BY-4.0;;31.7894;-110.8277;1291.0;GRA;17.0;420.0;Americas;North America
US-SRM;USA;Santa Rita Mesquite;CC-BY-4.0;;31.8214;-110.8661;1120.0;WSA;17.92;380.0;Americas;North America
US-Snd;USA;Sherman Island;;CC-BY-4.0;38.0366;-121.754;-5.0;GRA;15.6;358.0;Americas;North America
US-Sne;USA;Sherman Island Restored Wetland;;CC-BY-4.0;38.0369;-121.7547;-5.0;GRA;16.09;311.0;Americas;North America
US-Srr;USA;Suisun marsh - Rush Ranch;;CC-BY-4.0;38.2006;-122.0264;8.0;WET;15.1;326.0;Americas;North America
US-StJ;USA;St Jones Reserve;;CC-BY-4.0;39.0882;-75.4372;6.7;WET;13.5;1121.0;Americas;North America
US-Sta;USA;Saratoga;CC-BY-4.0;;41.3966;-106.8024;2069.0;OSH;5.1;;Americas;North America
US-Syv;USA;Sylvania Wilderness Area;CC-BY-4.0;;46.242;-89.3477;540.0;MF;3.81;826.0;Americas;North America
US-Ton;USA;Tonzi Ranch;CC-BY-4.0;;38.4309;-120.966;177.0;WSA;15.8;559.0;Americas;North America
US-Tw1;USA;Twitchell Wetland West Pond;CC-BY-4.0;CC-BY-4.0;38.1074;-121.6469;-5.0;WET;15.5;421.0;Americas;North America
US-Tw2;USA;Twitchell Corn;CC-BY-4.0;;38.1047;-121.6433;-5.0;CRO;15.5;421.0;Americas;North America
US-Tw3;USA;Twitchell Alfalfa;CC-BY-4.0;CC-BY-4.0;38.1152;-121.6469;-4.0;CRO;15.6;421.0;Americas;North America
US-Tw4;USA;Twitchell East End Wetland;CC-BY-4.0;CC-BY-4.0;38.1027;-121.6413;-5.0;WET;15.6;421.0;Americas;North America
US-Tw5;USA;East Pond Wetland;;CC-BY-4.0;38.1072;-121.6426;-5.0;WET;15.5;421.0;Americas;North America
US-Twt;USA;Twitchell Island;CC-BY-4.0;CC-BY-4.0;38.1087;-121.6531;-7.0;CRO;15.6;421.0;Americas;North America
US-UMB;USA;Univ. of Mich. Biological Station;CC-BY-4.0;;45.5598;-84.7138;234.0;DBF;5.83;803.0;Americas;North America
US-UMd;USA;UMBS Disturbance;CC-BY-4.0;;45.5625;-84.6975;239.0;DBF;5.83;803.0;Americas;North America
US-Uaf;USA;University of Alaska, Fairbanks;;CC-BY-4.0;64.8663;-147.8555;155.0;ENF;-2.9;263.0;Americas;North America
US-Var;USA;Vaira Ranch- Ione;CC-BY-4.0;;38.4133;-120.9508;129.0;GRA;15.8;559.0;Americas;North America
US-WCr;USA;Willow Creek;CC-BY-4.0;;45.8059;-90.0799;520.0;DBF;4.02;787.0;Americas;North America
US-WPT;USA;Winous Point North Marsh;CC-BY-4.0;CC-BY-4.0;41.4646;-82.9962;175.0;WET;10.1;849.0;Americas;North America
US-Whs;USA;Walnut Gulch Lucky Hills Shrub;CC-BY-4.0;;31.7438;-110.0522;1370.0;OSH;17.6;320.0;Americas;North America
US-Wi0;USA;Young red pine (YRP);CC-BY-4.0;;46.6188;-91.0814;349.0;ENF;;;Americas;North America
US-Wi1;USA;Intermediate hardwood (IHW);CC-BY-4.0;;46.7305;-91.2329;352.0;DBF;;;Americas;North America
US-Wi2;USA;Intermediate red pine (IRP);CC-BY-4.0;;46.6869;-91.1528;395.0;ENF;;;Americas;North America
US-Wi3;USA;Mature hardwood (MHW);CC-BY-4.0;;46.6347;-91.0987;411.0;DBF;;;Americas;North America
US-Wi4;USA;Mature red pine (MRP);CC-BY-4.0;;46.7393;-91.1663;352.0;ENF;;;Americas;North America
US-Wi5;USA;Mixed young jack pine (MYJP);CC-BY-4.0;;46.6531;-91.0858;353.0;ENF;;;Americas;North America
US-Wi6;USA;Pine barrens #1 (PB1);CC-BY-4.0;;46.6249;-91.2982;371.0;OSH;;;Americas;North America
US-Wi7;USA;Red pine clearcut (RPCC);CC-BY-4.0;;46.6491;-91.0693;335.0;OSH;;;Americas;North America
US-Wi8;USA;Young hardwood clearcut (YHW);CC-BY-4.0;;46.7223;-91.2524;348.0;DBF;;;Americas;North America
US-Wi9;USA;Young Jack pine (YJP);CC-BY-4.0;;46.7385;-91.0746;350.0;ENF;;;Americas;North America
US-Wkg;USA;Walnut Gulch Kendall Grasslands;CC-BY-4.0;;31.7365;-109.9419;1531.0;GRA;15.64;407.0;Americas;North America
ZA-Kru;South Africa;Skukuza;Tier 2;;-25.0197;31.4969;359.0;SAV;21.9;547.0;Africa;Africa
ZM-Mon;Zambia;Mongu;CC-BY-4.0;;-15.4391;23.2525;1053.0;DBF;25.0;945.0;Africa;Africa
